trein_id,dienst_datum,reizigers,zitplaatsen_beschikbaar,bezettingsgraad_pct
IC1006,2024-01-02,222,360,61.7
IC1015,2024-01-02,605,540,112.0
IC1010,2024-01-02,252,340,74.1
IC1008,2024-01-02,836,680,122.9
IC1000,2024-01-02,614,640,95.9
SPR2025,2024-01-02,431,340,126.8
SPR2011,2024-01-02,416,480,86.7
IC1025,2024-01-02,710,560,126.8
SPR2001,2024-01-02,436,340,128.2
IC1009,2024-01-02,221,320,69.1
SPR2023,2024-01-02,329,480,68.5
IC1001,2024-01-02,609,680,89.6
IC1041,2024-01-02,605,680,89.0
IC1021,2024-01-02,506,480,105.4
IC1042,2024-01-02,217,320,67.8
SPR2027,2024-01-02,722,640,112.8
IC1039,2024-01-02,484,640,75.6
IC1046,2024-01-02,239,340,70.3
IC1024,2024-01-02,416,360,115.6
IC1017,2024-01-02,354,540,65.6
IC1002,2024-01-02,614,560,109.6
SPR2006,2024-01-03,488,720,67.8
IC1006,2024-01-03,804,720,111.7
SPR2011,2024-01-03,830,720,115.3
IC1025,2024-01-03,484,480,100.8
SPR2002,2024-01-03,406,480,84.6
SPR2001,2024-01-03,551,720,76.5
IC1028,2024-01-03,489,420,116.4
IC1039,2024-01-03,344,510,67.5
IC1016,2024-01-03,653,510,128.0
IC1008,2024-01-03,320,280,114.3
IC1004,2024-01-03,519,480,108.1
IC1001,2024-01-03,361,280,128.9
SPR2009,2024-01-03,551,510,108.0
IC1029,2024-01-03,363,540,67.2
IC1041,2024-01-03,231,280,82.5
IC1026,2024-01-03,424,420,101.0
SPR2028,2024-01-03,421,420,100.2
IC1047,2024-01-03,309,510,60.6
IC1023,2024-01-03,375,480,78.1
SPR2000,2024-01-03,468,420,111.4
SPR2012,2024-01-03,541,510,106.1
SPR2005,2024-01-03,786,640,122.8
IC1009,2024-01-03,534,420,127.1
IC1011,2024-01-03,580,480,120.8
IC1042,2024-01-03,503,510,98.6
SPR2022,2024-01-03,274,280,97.9
IC1022,2024-01-03,618,720,85.8
IC1046,2024-01-03,884,720,122.8
SPR2015,2024-01-03,401,340,117.9
IC1033,2024-01-03,778,680,114.4
IC1021,2024-01-03,389,340,114.4
IC1049,2024-01-03,859,720,119.3
SPR2008,2024-01-03,634,510,124.3
SPR2025,2024-01-03,399,340,117.4
IC1014,2024-01-03,421,360,116.9
IC1013,2024-01-03,541,510,106.1
IC1017,2024-01-03,662,720,91.9
SPR2014,2024-01-03,335,340,98.5
SPR2020,2024-01-03,350,360,97.2
IC1034,2024-01-03,423,360,117.5
SPR2007,2024-01-04,400,510,78.4
SPR2023,2024-01-04,290,340,85.3
IC1026,2024-01-04,504,510,98.8
IC1020,2024-01-04,696,540,128.9
IC1036,2024-01-04,339,360,94.2
IC1049,2024-01-04,192,280,68.6
IC1024,2024-01-04,450,420,107.1
SPR2020,2024-01-04,350,340,102.9
IC1015,2024-01-04,500,420,119.0
IC1033,2024-01-04,766,640,119.7
IC1006,2024-01-04,265,340,77.9
IC1031,2024-01-04,353,560,63.0
IC1021,2024-01-04,735,640,114.8
SPR2018,2024-01-04,538,510,105.5
IC1016,2024-01-04,391,560,69.8
SPR2010,2024-01-04,438,340,128.8
SPR2022,2024-01-04,449,360,124.7
IC1027,2024-01-04,353,320,110.3
IC1038,2024-01-04,344,540,63.7
IC1040,2024-01-04,314,420,74.8
SPR2009,2024-01-04,446,540,82.6
SPR2002,2024-01-04,204,320,63.7
IC1034,2024-01-04,330,280,117.9
SPR2008,2024-01-04,209,320,65.3
SPR2029,2024-01-04,312,420,74.3
IC1028,2024-01-04,230,280,82.1
IC1022,2024-01-04,449,540,83.1
IC1047,2024-01-04,565,720,78.5
IC1009,2024-01-04,822,640,128.4
SPR2017,2024-01-04,865,680,127.2
IC1017,2024-01-04,661,640,103.3
IC1046,2024-01-04,330,480,68.8
IC1041,2024-01-04,613,560,109.5
SPR2021,2024-01-04,410,320,128.1
IC1012,2024-01-04,935,720,129.9
SPR2025,2024-01-04,371,360,103.1
IC1013,2024-01-04,351,480,73.1
IC1045,2024-01-04,851,720,118.2
IC1000,2024-01-04,352,340,103.5
IC1011,2024-01-04,293,320,91.6
IC1024,2024-01-05,239,340,70.3
SPR2011,2024-01-05,214,280,76.4
IC1030,2024-01-05,482,480,100.4
SPR2019,2024-01-05,438,560,78.2
IC1014,2024-01-05,336,360,93.3
IC1042,2024-01-05,616,560,110.0
IC1044,2024-01-05,619,480,129.0
SPR2025,2024-01-05,214,340,62.9
IC1005,2024-01-05,833,720,115.7
IC1043,2024-01-05,496,720,68.9
IC1025,2024-01-05,352,280,125.7
SPR2013,2024-01-05,410,360,113.9
SPR2024,2024-01-05,448,510,87.8
IC1038,2024-01-05,488,510,95.7
IC1003,2024-01-05,547,510,107.3
SPR2026,2024-01-05,675,680,99.3
SPR2000,2024-01-05,540,420,128.6
SPR2007,2024-01-05,935,720,129.9
SPR2016,2024-01-05,230,360,63.9
IC1012,2024-01-05,621,560,110.9
IC1048,2024-01-05,606,540,112.2
SPR2029,2024-01-05,645,560,115.2
IC1039,2024-01-05,844,680,124.1
SPR2015,2024-01-05,517,510,101.4
IC1027,2024-01-05,249,320,77.8
SPR2009,2024-01-05,599,560,107.0
SPR2006,2024-01-05,346,420,82.4
IC1049,2024-01-05,470,560,83.9
SPR2021,2024-01-05,555,540,102.8
SPR2020,2024-01-05,577,720,80.1
IC1026,2024-01-05,782,720,108.6
SPR2008,2024-01-05,335,280,119.6
IC1040,2024-01-05,928,720,128.9
IC1009,2024-01-05,366,510,71.8
IC1016,2024-01-05,468,510,91.8
IC1023,2024-01-05,380,340,111.8
IC1021,2024-01-05,482,480,100.4
SPR2027,2024-01-05,438,680,64.4
SPR2028,2024-01-05,303,360,84.2
IC1008,2024-01-05,416,360,115.6
SPR2020,2024-01-06,529,560,94.5
IC1006,2024-01-06,347,320,108.4
IC1009,2024-01-06,587,560,104.8
IC1022,2024-01-06,428,340,125.9
IC1042,2024-01-06,576,480,120.0
IC1043,2024-01-06,571,680,84.0
SPR2006,2024-01-06,265,280,94.6
IC1020,2024-01-06,504,540,93.3
SPR2021,2024-01-06,540,680,79.4
SPR2014,2024-01-06,496,480,103.3
IC1000,2024-01-06,399,510,78.2
SPR2004,2024-01-06,455,640,71.1
IC1035,2024-01-06,433,640,67.7
IC1001,2024-01-06,544,680,80.0
IC1038,2024-01-06,502,540,93.0
IC1018,2024-01-06,435,640,68.0
SPR2009,2024-01-06,515,480,107.3
IC1021,2024-01-06,386,320,120.6
IC1032,2024-01-06,611,680,89.9
SPR2018,2024-01-06,339,280,121.1
SPR2016,2024-01-06,479,680,70.4
SPR2013,2024-01-06,314,480,65.4
SPR2023,2024-01-06,374,320,116.9
SPR2017,2024-01-06,461,360,128.1
IC1029,2024-01-06,536,640,83.8
IC1030,2024-01-06,572,540,105.9
SPR2028,2024-01-06,507,480,105.6
IC1017,2024-01-06,691,640,108.0
IC1025,2024-01-06,480,480,100.0
IC1015,2024-01-06,436,560,77.9
SPR2012,2024-01-06,210,320,65.6
IC1026,2024-01-06,329,540,60.9
IC1007,2024-01-06,305,420,72.6
SPR2001,2024-01-06,437,640,68.3
IC1023,2024-01-06,175,280,62.5
IC1044,2024-01-06,358,540,66.3
SPR2002,2024-01-06,266,420,63.3
SPR2026,2024-01-06,501,510,98.2
IC1045,2024-01-06,179,280,63.9
IC1039,2024-01-06,830,640,129.7
IC1038,2024-01-07,342,360,95.0
IC1022,2024-01-07,689,560,123.0
IC1015,2024-01-07,395,420,94.0
IC1010,2024-01-07,444,640,69.4
SPR2003,2024-01-07,570,480,118.8
IC1016,2024-01-07,521,680,76.6
SPR2001,2024-01-07,402,640,62.8
IC1008,2024-01-07,469,640,73.3
IC1004,2024-01-07,326,320,101.9
IC1039,2024-01-07,307,340,90.3
SPR2019,2024-01-07,299,420,71.2
SPR2010,2024-01-07,272,280,97.1
IC1045,2024-01-07,456,360,126.7
IC1037,2024-01-07,376,340,110.6
IC1013,2024-01-07,220,340,64.7
IC1041,2024-01-07,527,640,82.3
IC1026,2024-01-07,455,420,108.3
SPR2026,2024-01-07,446,640,69.7
IC1000,2024-01-07,527,540,97.6
IC1042,2024-01-07,628,640,98.1
IC1046,2024-01-07,357,540,66.1
SPR2021,2024-01-07,327,320,102.2
SPR2015,2024-01-07,787,640,123.0
SPR2027,2024-01-07,718,680,105.6
SPR2009,2024-01-07,421,340,123.8
IC1049,2024-01-07,432,420,102.9
SPR2014,2024-01-07,765,680,112.5
IC1025,2024-01-07,881,720,122.4
IC1047,2024-01-07,443,480,92.3
SPR2024,2024-01-07,483,680,71.0
SPR2006,2024-01-07,232,340,68.2
SPR2011,2024-01-07,912,720,126.7
IC1005,2024-01-07,530,540,98.1
SPR2020,2024-01-07,366,340,107.6
IC1001,2024-01-07,431,420,102.6
IC1033,2024-01-07,507,510,99.4
IC1035,2024-01-07,674,680,99.1
SPR2012,2024-01-07,335,360,93.1
SPR2022,2024-01-07,621,510,121.8
SPR2016,2024-01-07,438,640,68.4
IC1013,2024-01-08,594,540,110.0
IC1028,2024-01-08,775,720,107.6
IC1040,2024-01-08,328,510,64.3
SPR2028,2024-01-08,210,280,75.0
IC1031,2024-01-08,621,540,115.0
SPR2001,2024-01-08,488,640,76.2
IC1037,2024-01-08,321,320,100.3
SPR2022,2024-01-08,335,510,65.7
SPR2004,2024-01-08,408,540,75.6
IC1047,2024-01-08,832,680,122.4
IC1010,2024-01-08,580,680,85.3
SPR2009,2024-01-08,838,720,116.4
SPR2019,2024-01-08,299,320,93.4
IC1049,2024-01-08,264,320,82.5
IC1034,2024-01-08,338,340,99.4
IC1005,2024-01-08,331,340,97.4
SPR2025,2024-01-08,876,680,128.8
IC1036,2024-01-08,471,560,84.1
SPR2026,2024-01-08,761,720,105.7
IC1011,2024-01-08,303,280,108.2
IC1002,2024-01-08,290,280,103.6
IC1016,2024-01-08,261,280,93.2
SPR2006,2024-01-08,413,360,114.7
IC1004,2024-01-08,318,280,113.6
SPR2020,2024-01-08,686,540,127.0
IC1022,2024-01-08,410,320,128.1
SPR2007,2024-01-08,540,720,75.0
IC1032,2024-01-08,719,680,105.7
SPR2013,2024-01-08,863,720,119.9
IC1033,2024-01-08,356,280,127.1
SPR2027,2024-01-08,293,420,69.8
IC1024,2024-01-08,859,680,126.3
IC1042,2024-01-08,212,280,75.7
IC1018,2024-01-08,420,420,100.0
IC1039,2024-01-08,571,540,105.7
SPR2011,2024-01-08,340,280,121.4
IC1026,2024-01-08,418,360,116.1
IC1045,2024-01-08,401,320,125.3
IC1015,2024-01-08,782,680,115.0
SPR2008,2024-01-08,284,340,83.5
IC1005,2024-01-09,522,720,72.5
SPR2019,2024-01-09,241,340,70.9
SPR2003,2024-01-09,357,540,66.1
IC1049,2024-01-09,701,560,125.2
IC1030,2024-01-09,507,540,93.9
SPR2005,2024-01-09,612,480,127.5
IC1002,2024-01-09,548,480,114.2
IC1029,2024-01-09,354,280,126.4
SPR2006,2024-01-09,676,560,120.7
IC1015,2024-01-09,685,680,100.7
SPR2021,2024-01-09,363,480,75.6
IC1013,2024-01-09,435,560,77.7
SPR2000,2024-01-09,464,540,85.9
IC1024,2024-01-09,222,360,61.7
IC1019,2024-01-09,341,320,106.6
IC1006,2024-01-09,316,320,98.8
IC1043,2024-01-09,228,340,67.1
IC1011,2024-01-09,600,510,117.6
SPR2020,2024-01-09,658,560,117.5
IC1018,2024-01-09,382,560,68.2
IC1046,2024-01-09,237,320,74.1
IC1023,2024-01-09,372,480,77.5
IC1014,2024-01-09,309,320,96.6
SPR2026,2024-01-09,857,680,126.0
SPR2015,2024-01-09,511,480,106.5
IC1021,2024-01-09,387,360,107.5
IC1026,2024-01-09,257,320,80.3
IC1007,2024-01-09,497,480,103.5
IC1036,2024-01-09,239,320,74.7
IC1022,2024-01-09,461,420,109.8
SPR2010,2024-01-09,389,510,76.3
IC1027,2024-01-09,292,480,60.8
IC1042,2024-01-09,492,510,96.5
SPR2023,2024-01-09,549,680,80.7
IC1032,2024-01-09,332,320,103.8
SPR2016,2024-01-09,471,420,112.1
SPR2027,2024-01-09,491,420,116.9
IC1000,2024-01-09,875,680,128.7
IC1008,2024-01-09,316,320,98.8
SPR2013,2024-01-09,600,640,93.8
SPR2029,2024-01-10,555,720,77.1
IC1016,2024-01-10,763,680,112.2
SPR2001,2024-01-10,478,510,93.7
SPR2020,2024-01-10,447,540,82.8
SPR2024,2024-01-10,252,280,90.0
SPR2014,2024-01-10,549,640,85.8
IC1028,2024-01-10,693,540,128.3
IC1014,2024-01-10,257,340,75.6
SPR2011,2024-01-10,302,340,88.8
SPR2007,2024-01-10,521,640,81.4
IC1031,2024-01-10,345,480,71.9
IC1007,2024-01-10,437,540,80.9
IC1001,2024-01-10,320,340,94.1
IC1026,2024-01-10,291,280,103.9
IC1037,2024-01-10,526,510,103.1
SPR2025,2024-01-10,581,510,113.9
SPR2005,2024-01-10,331,510,64.9
IC1022,2024-01-10,344,420,81.9
SPR2017,2024-01-10,270,320,84.4
IC1017,2024-01-10,347,320,108.4
IC1047,2024-01-10,313,420,74.5
IC1010,2024-01-10,510,680,75.0
SPR2010,2024-01-10,319,480,66.5
IC1044,2024-01-10,496,510,97.3
IC1008,2024-01-10,399,360,110.8
IC1011,2024-01-10,370,340,108.8
SPR2002,2024-01-10,537,480,111.9
IC1012,2024-01-10,229,320,71.6
SPR2028,2024-01-10,727,720,101.0
IC1033,2024-01-10,226,340,66.5
IC1039,2024-01-10,868,680,127.6
IC1032,2024-01-10,188,280,67.1
IC1015,2024-01-10,388,320,121.2
IC1009,2024-01-10,263,420,62.6
IC1013,2024-01-10,524,540,97.0
SPR2008,2024-01-10,335,280,119.6
SPR2006,2024-01-10,668,640,104.4
IC1006,2024-01-10,340,360,94.4
IC1027,2024-01-10,330,480,68.8
IC1021,2024-01-10,339,320,105.9
IC1014,2024-01-11,490,480,102.1
IC1028,2024-01-11,469,510,92.0
SPR2009,2024-01-11,275,360,76.4
SPR2027,2024-01-11,512,680,75.3
SPR2020,2024-01-11,460,360,127.8
IC1000,2024-01-11,612,480,127.5
IC1009,2024-01-11,452,360,125.6
IC1049,2024-01-11,461,480,96.0
IC1048,2024-01-11,658,510,129.0
SPR2005,2024-01-11,339,420,80.7
IC1017,2024-01-11,251,280,89.6
IC1012,2024-01-11,462,640,72.2
IC1004,2024-01-11,443,480,92.3
SPR2013,2024-01-11,525,720,72.9
IC1023,2024-01-11,439,680,64.6
IC1033,2024-01-11,194,320,60.6
SPR2004,2024-01-11,294,340,86.5
IC1011,2024-01-11,663,540,122.8
IC1020,2024-01-11,308,340,90.6
IC1040,2024-01-11,357,340,105.0
IC1015,2024-01-11,844,720,117.2
SPR2003,2024-01-11,335,340,98.5
SPR2010,2024-01-11,536,540,99.3
IC1036,2024-01-11,270,280,96.4
IC1030,2024-01-11,495,720,68.8
IC1001,2024-01-11,292,280,104.3
IC1007,2024-01-11,309,280,110.4
IC1031,2024-01-11,168,280,60.0
IC1026,2024-01-11,184,280,65.7
IC1003,2024-01-11,548,560,97.9
IC1042,2024-01-11,403,340,118.5
IC1038,2024-01-11,622,640,97.2
SPR2019,2024-01-11,488,540,90.4
IC1010,2024-01-11,640,510,125.5
IC1043,2024-01-11,222,340,65.3
SPR2016,2024-01-11,195,280,69.6
IC1032,2024-01-11,453,420,107.9
SPR2025,2024-01-11,189,280,67.5
SPR2017,2024-01-11,375,540,69.4
IC1016,2024-01-11,871,720,121.0
IC1046,2024-01-12,268,360,74.4
SPR2022,2024-01-12,745,720,103.5
IC1027,2024-01-12,596,680,87.6
SPR2011,2024-01-12,354,510,69.4
SPR2004,2024-01-12,243,280,86.8
IC1043,2024-01-12,641,720,89.0
SPR2006,2024-01-12,707,680,104.0
SPR2020,2024-01-12,360,510,70.6
IC1032,2024-01-12,262,420,62.4
IC1024,2024-01-12,655,640,102.3
SPR2012,2024-01-12,329,510,64.5
IC1015,2024-01-12,226,320,70.6
IC1007,2024-01-12,463,360,128.6
IC1019,2024-01-12,172,280,61.4
IC1000,2024-01-12,535,510,104.9
SPR2027,2024-01-12,250,360,69.4
IC1037,2024-01-12,657,560,117.3
IC1006,2024-01-12,564,560,100.7
IC1010,2024-01-12,316,340,92.9
IC1048,2024-01-12,470,510,92.2
IC1023,2024-01-12,342,320,106.9
IC1011,2024-01-12,605,510,118.6
IC1013,2024-01-12,193,320,60.3
IC1020,2024-01-12,417,680,61.3
IC1040,2024-01-12,569,720,79.0
SPR2019,2024-01-12,714,640,111.6
IC1039,2024-01-12,308,420,73.3
IC1035,2024-01-12,371,420,88.3
IC1001,2024-01-12,305,320,95.3
IC1009,2024-01-12,309,360,85.8
IC1002,2024-01-12,592,640,92.5
IC1018,2024-01-12,788,680,115.9
SPR2029,2024-01-12,258,340,75.9
IC1038,2024-01-12,298,360,82.8
IC1033,2024-01-12,493,510,96.7
SPR2009,2024-01-12,614,510,120.4
IC1004,2024-01-12,401,540,74.3
SPR2026,2024-01-12,696,720,96.7
IC1021,2024-01-12,618,510,121.2
IC1031,2024-01-12,325,480,67.7
SPR2015,2024-01-13,707,640,110.5
SPR2017,2024-01-13,317,420,75.5
SPR2003,2024-01-13,202,280,72.1
SPR2021,2024-01-13,214,280,76.4
IC1033,2024-01-13,304,320,95.0
IC1004,2024-01-13,736,720,102.2
IC1037,2024-01-13,471,640,73.6
SPR2018,2024-01-13,284,420,67.6
IC1025,2024-01-13,586,640,91.6
IC1002,2024-01-13,179,280,63.9
SPR2008,2024-01-13,703,720,97.6
SPR2026,2024-01-13,603,560,107.7
IC1035,2024-01-13,858,680,126.2
IC1014,2024-01-13,476,680,70.0
IC1007,2024-01-13,578,640,90.3
IC1026,2024-01-13,218,280,77.9
SPR2002,2024-01-13,240,320,75.0
IC1047,2024-01-13,539,560,96.2
IC1049,2024-01-13,392,560,70.0
SPR2010,2024-01-13,415,680,61.0
IC1031,2024-01-13,342,480,71.2
IC1000,2024-01-13,425,510,83.3
SPR2028,2024-01-13,291,480,60.6
IC1021,2024-01-13,431,360,119.7
SPR2022,2024-01-13,645,640,100.8
IC1005,2024-01-13,346,560,61.8
IC1040,2024-01-13,364,480,75.8
SPR2001,2024-01-13,298,280,106.4
IC1015,2024-01-13,223,360,61.9
IC1001,2024-01-13,621,720,86.2
IC1030,2024-01-13,227,340,66.8
SPR2027,2024-01-13,445,510,87.3
SPR2013,2024-01-13,613,480,127.7
IC1044,2024-01-13,495,540,91.7
SPR2012,2024-01-13,494,480,102.9
IC1006,2024-01-13,566,640,88.4
IC1039,2024-01-13,295,360,81.9
IC1013,2024-01-13,349,340,102.6
IC1017,2024-01-13,289,280,103.2
IC1034,2024-01-13,432,420,102.9
IC1001,2024-01-14,173,280,61.8
IC1041,2024-01-14,609,560,108.7
SPR2008,2024-01-14,686,640,107.2
IC1030,2024-01-14,363,560,64.8
IC1005,2024-01-14,205,280,73.2
IC1036,2024-01-14,617,640,96.4
SPR2010,2024-01-14,409,480,85.2
IC1032,2024-01-14,722,720,100.3
IC1015,2024-01-14,769,680,113.1
SPR2013,2024-01-14,354,360,98.3
IC1042,2024-01-14,313,340,92.1
IC1024,2024-01-14,502,640,78.4
IC1002,2024-01-14,577,560,103.0
SPR2026,2024-01-14,400,340,117.6
IC1023,2024-01-14,376,480,78.3
IC1043,2024-01-14,829,720,115.1
IC1029,2024-01-14,374,420,89.0
SPR2009,2024-01-14,434,640,67.8
SPR2005,2024-01-14,420,340,123.5
IC1038,2024-01-14,366,340,107.6
IC1013,2024-01-14,606,510,118.8
IC1035,2024-01-14,381,360,105.8
IC1037,2024-01-14,384,560,68.6
IC1007,2024-01-14,528,540,97.8
IC1039,2024-01-14,709,680,104.3
SPR2000,2024-01-14,438,560,78.2
IC1014,2024-01-14,531,510,104.1
IC1006,2024-01-14,677,680,99.6
IC1027,2024-01-14,172,280,61.4
SPR2029,2024-01-14,389,320,121.6
SPR2021,2024-01-14,331,340,97.4
IC1018,2024-01-14,363,360,100.8
SPR2025,2024-01-14,254,360,70.6
IC1011,2024-01-14,488,420,116.2
SPR2017,2024-01-14,524,540,97.0
IC1020,2024-01-14,423,640,66.1
IC1048,2024-01-14,523,480,109.0
IC1045,2024-01-14,452,480,94.2
SPR2007,2024-01-14,467,560,83.4
SPR2012,2024-01-14,423,340,124.4
IC1011,2024-01-15,599,510,117.5
IC1023,2024-01-15,321,510,62.9
SPR2007,2024-01-15,740,680,108.8
IC1004,2024-01-15,489,680,71.9
SPR2005,2024-01-15,256,420,61.0
IC1036,2024-01-15,316,420,75.2
SPR2029,2024-01-15,266,420,63.3
SPR2000,2024-01-15,753,720,104.6
IC1042,2024-01-15,813,720,112.9
IC1007,2024-01-15,304,420,72.4
SPR2023,2024-01-15,403,540,74.6
IC1022,2024-01-15,353,510,69.2
IC1045,2024-01-15,476,480,99.2
IC1030,2024-01-15,395,420,94.0
IC1010,2024-01-15,338,560,60.4
IC1041,2024-01-15,549,640,85.8
SPR2010,2024-01-15,238,360,66.1
IC1034,2024-01-15,341,340,100.3
SPR2009,2024-01-15,670,720,93.1
IC1002,2024-01-15,626,680,92.1
IC1044,2024-01-15,401,360,111.4
IC1017,2024-01-15,331,360,91.9
IC1039,2024-01-15,263,280,93.9
IC1016,2024-01-15,563,540,104.3
SPR2014,2024-01-15,519,640,81.1
IC1015,2024-01-15,452,360,125.6
SPR2008,2024-01-15,255,320,79.7
SPR2011,2024-01-15,421,340,123.8
IC1013,2024-01-15,631,540,116.9
IC1012,2024-01-15,394,320,123.1
IC1043,2024-01-15,262,360,72.8
IC1037,2024-01-15,548,720,76.1
IC1048,2024-01-15,763,640,119.2
SPR2028,2024-01-15,711,560,127.0
SPR2001,2024-01-15,315,280,112.5
SPR2012,2024-01-15,376,360,104.4
IC1006,2024-01-15,629,540,116.5
SPR2024,2024-01-15,320,510,62.7
SPR2019,2024-01-15,407,340,119.7
IC1027,2024-01-15,270,340,79.4
SPR2001,2024-01-16,230,360,63.9
IC1049,2024-01-16,581,540,107.6
SPR2009,2024-01-16,360,320,112.5
IC1023,2024-01-16,498,480,103.8
IC1030,2024-01-16,574,680,84.4
IC1043,2024-01-16,245,360,68.1
IC1033,2024-01-16,580,510,113.7
IC1034,2024-01-16,322,510,63.1
IC1000,2024-01-16,577,510,113.1
IC1048,2024-01-16,406,320,126.9
IC1020,2024-01-16,661,510,129.6
IC1006,2024-01-16,280,320,87.5
IC1041,2024-01-16,432,640,67.5
IC1004,2024-01-16,359,540,66.5
SPR2010,2024-01-16,302,320,94.4
IC1009,2024-01-16,588,510,115.3
IC1022,2024-01-16,430,680,63.2
SPR2012,2024-01-16,488,680,71.8
IC1032,2024-01-16,728,720,101.1
IC1015,2024-01-16,224,340,65.9
SPR2017,2024-01-16,340,280,121.4
SPR2029,2024-01-16,457,480,95.2
IC1008,2024-01-16,626,720,86.9
IC1016,2024-01-16,329,540,60.9
IC1042,2024-01-16,230,340,67.6
SPR2028,2024-01-16,377,320,117.8
IC1037,2024-01-16,784,720,108.9
IC1025,2024-01-16,196,320,61.3
SPR2013,2024-01-16,435,340,127.9
SPR2025,2024-01-16,237,280,84.6
SPR2016,2024-01-16,348,340,102.4
IC1026,2024-01-16,375,340,110.3
IC1003,2024-01-16,863,680,126.9
IC1013,2024-01-16,685,560,122.3
IC1036,2024-01-16,366,360,101.7
SPR2019,2024-01-16,502,720,69.7
SPR2024,2024-01-16,405,340,119.1
IC1038,2024-01-16,421,360,116.9
SPR2021,2024-01-16,356,340,104.7
IC1019,2024-01-16,827,640,129.2
SPR2001,2024-01-17,329,340,96.8
IC1038,2024-01-17,539,720,74.9
SPR2028,2024-01-17,279,360,77.5
SPR2017,2024-01-17,477,540,88.3
IC1008,2024-01-17,573,640,89.5
IC1020,2024-01-17,330,280,117.9
SPR2024,2024-01-17,415,340,122.1
IC1044,2024-01-17,295,340,86.8
IC1015,2024-01-17,428,340,125.9
IC1000,2024-01-17,399,320,124.7
SPR2029,2024-01-17,496,560,88.6
SPR2004,2024-01-17,615,510,120.6
IC1046,2024-01-17,461,680,67.8
SPR2010,2024-01-17,651,680,95.7
IC1042,2024-01-17,461,420,109.8
SPR2003,2024-01-17,269,320,84.1
IC1024,2024-01-17,345,560,61.6
SPR2027,2024-01-17,178,280,63.6
IC1013,2024-01-17,392,320,122.5
SPR2023,2024-01-17,693,720,96.2
IC1001,2024-01-17,508,720,70.6
IC1005,2024-01-17,394,320,123.1
IC1017,2024-01-17,352,280,125.7
IC1032,2024-01-17,231,280,82.5
IC1021,2024-01-17,565,560,100.9
IC1025,2024-01-17,463,560,82.7
IC1004,2024-01-17,531,480,110.6
IC1030,2024-01-17,606,480,126.2
IC1012,2024-01-17,260,420,61.9
IC1035,2024-01-17,474,510,92.9
IC1003,2024-01-17,394,340,115.9
SPR2015,2024-01-17,303,280,108.2
IC1027,2024-01-17,371,510,72.7
SPR2016,2024-01-17,419,480,87.3
SPR2012,2024-01-17,473,510,92.7
SPR2011,2024-01-17,628,560,112.1
IC1040,2024-01-17,589,640,92.0
SPR2008,2024-01-17,393,480,81.9
IC1022,2024-01-17,480,540,88.9
SPR2014,2024-01-17,434,340,127.6
SPR2004,2024-01-18,455,720,63.2
SPR2022,2024-01-18,600,720,83.3
SPR2011,2024-01-18,310,420,73.8
