trein_id,dienst_datum,traject,vertrek_station,aankomst_station,vertrek_uur
IC1042,2024-01-01,Eindhoven - Amsterdam Centraal,Eindhoven,Amsterdam Centraal,20
SPR2004,2024-01-01,Utrecht Centraal - Amsterdam Centraal,Utrecht Centraal,Amsterdam Centraal,7
IC1016,2024-01-01,Utrecht Centraal - Amsterdam Centraal,Utrecht Centraal,Amsterdam Centraal,13
IC1039,2024-01-01,Eindhoven - Rotterdam Centraal,Eindhoven,Rotterdam Centraal,22
SPR2006,2024-01-01,Utrecht Centraal - Eindhoven,Utrecht Centraal,Eindhoven,20
SPR2029,2024-01-01,Rotterdam Centraal - Den Haag Centraal,Rotterdam Centraal,Den Haag Centraal,5
IC1007,2024-01-01,Rotterdam Centraal - Amsterdam Centraal,Rotterdam Centraal,Amsterdam Centraal,13
SPR2000,2024-01-01,Den Haag Centraal - Amsterdam Centraal,Den Haag Centraal,Amsterdam Centraal,5
SPR2003,2024-01-01,Den Haag Centraal - Eindhoven,Den Haag Centraal,Eindhoven,7
IC1019,2024-01-01,Amsterdam Centraal - Amersfoort,Amsterdam Centraal,Amersfoort,22
SPR2016,2024-01-01,Rotterdam Centraal - Utrecht Centraal,Rotterdam Centraal,Utrecht Centraal,20
IC1025,2024-01-01,Rotterdam Centraal - Amsterdam Centraal,Rotterdam Centraal,Amsterdam Centraal,5
IC1044,2024-01-01,Amsterdam Centraal - Utrecht Centraal,Amsterdam Centraal,Utrecht Centraal,21
IC1013,2024-01-01,Den Haag Centraal - Amsterdam Centraal,Den Haag Centraal,Amsterdam Centraal,18
SPR2009,2024-01-02,Den Haag Centraal - Utrecht Centraal,Den Haag Centraal,Utrecht Centraal,21
IC1014,2024-01-02,Utrecht Centraal - Den Haag Centraal,Utrecht Centraal,Den Haag Centraal,15
IC1004,2024-01-02,Rotterdam Centraal - Amsterdam Centraal,Rotterdam Centraal,Amsterdam Centraal,16
IC1038,2024-01-02,Den Haag Centraal - Utrecht Centraal,Den Haag Centraal,Utrecht Centraal,19
SPR2005,2024-01-02,Den Haag Centraal - Amsterdam Centraal,Den Haag Centraal,Amsterdam Centraal,14
IC1013,2024-01-02,Amsterdam Centraal - Amersfoort,Amsterdam Centraal,Amersfoort,9
SPR2004,2024-01-02,Amersfoort - Utrecht Centraal,Amersfoort,Utrecht Centraal,13
SPR2008,2024-01-02,Den Haag Centraal - Rotterdam Centraal,Den Haag Centraal,Rotterdam Centraal,5
SPR2028,2024-01-02,Den Haag Centraal - Rotterdam Centraal,Den Haag Centraal,Rotterdam Centraal,5
SPR2016,2024-01-02,Amersfoort - Rotterdam Centraal,Amersfoort,Rotterdam Centraal,7
SPR2017,2024-01-02,Eindhoven - Utrecht Centraal,Eindhoven,Utrecht Centraal,18
SPR2014,2024-01-02,Den Haag Centraal - Amsterdam Centraal,Den Haag Centraal,Amsterdam Centraal,18
IC1033,2024-01-02,Eindhoven - Rotterdam Centraal,Eindhoven,Rotterdam Centraal,20
IC1019,2024-01-02,Den Haag Centraal - Rotterdam Centraal,Den Haag Centraal,Rotterdam Centraal,9
SPR2015,2024-01-02,Rotterdam Centraal - Amersfoort,Rotterdam Centraal,Amersfoort,6
IC1011,2024-01-02,Utrecht Centraal - Den Haag Centraal,Utrecht Centraal,Den Haag Centraal,5
IC1012,2024-01-02,Utrecht Centraal - Amsterdam Centraal,Utrecht Centraal,Amsterdam Centraal,21
IC1035,2024-01-02,Eindhoven - Utrecht Centraal,Eindhoven,Utrecht Centraal,5
IC1049,2024-01-02,Amsterdam Centraal - Den Haag Centraal,Amsterdam Centraal,Den Haag Centraal,16
IC1006,2024-01-02,Den Haag Centraal - Amersfoort,Den Haag Centraal,Amersfoort,16
IC1015,2024-01-02,Utrecht Centraal - Amsterdam Centraal,Utrecht Centraal,Amsterdam Centraal,6
IC1010,2024-01-02,Amersfoort - Utrecht Centraal,Amersfoort,Utrecht Centraal,21
IC1008,2024-01-02,Utrecht Centraal - Rotterdam Centraal,Utrecht Centraal,Rotterdam Centraal,6
IC1000,2024-01-02,Amersfoort - Eindhoven,Amersfoort,Eindhoven,22
SPR2025,2024-01-02,Amsterdam Centraal - Den Haag Centraal,Amsterdam Centraal,Den Haag Centraal,8
SPR2011,2024-01-02,Den Haag Centraal - Amersfoort,Den Haag Centraal,Amersfoort,7
IC1025,2024-01-02,Den Haag Centraal - Eindhoven,Den Haag Centraal,Eindhoven,9
SPR2001,2024-01-02,Amsterdam Centraal - Den Haag Centraal,Amsterdam Centraal,Den Haag Centraal,7
IC1009,2024-01-02,Amersfoort - Rotterdam Centraal,Amersfoort,Rotterdam Centraal,20
SPR2023,2024-01-02,Amsterdam Centraal - Den Haag Centraal,Amsterdam Centraal,Den Haag Centraal,8
IC1001,2024-01-02,Den Haag Centraal - Amsterdam Centraal,Den Haag Centraal,Amsterdam Centraal,13
IC1041,2024-01-02,Eindhoven - Utrecht Centraal,Eindhoven,Utrecht Centraal,20
IC1021,2024-01-02,Amersfoort - Amsterdam Centraal,Amersfoort,Amsterdam Centraal,8
IC1042,2024-01-02,Amsterdam Centraal - Amersfoort,Amsterdam Centraal,Amersfoort,14
SPR2027,2024-01-02,Eindhoven - Amersfoort,Eindhoven,Amersfoort,15
IC1039,2024-01-02,Amersfoort - Eindhoven,Amersfoort,Eindhoven,16
IC1046,2024-01-02,Den Haag Centraal - Amersfoort,Den Haag Centraal,Amersfoort,17
IC1024,2024-01-02,Eindhoven - Amersfoort,Eindhoven,Amersfoort,6
IC1017,2024-01-02,Rotterdam Centraal - Amersfoort,Rotterdam Centraal,Amersfoort,12
IC1002,2024-01-02,Amersfoort - Rotterdam Centraal,Amersfoort,Rotterdam Centraal,11
SPR2006,2024-01-03,Amsterdam Centraal - Rotterdam Centraal,Amsterdam Centraal,Rotterdam Centraal,18
IC1006,2024-01-03,Den Haag Centraal - Utrecht Centraal,Den Haag Centraal,Utrecht Centraal,9
SPR2011,2024-01-03,Den Haag Centraal - Rotterdam Centraal,Den Haag Centraal,Rotterdam Centraal,17
IC1025,2024-01-03,Rotterdam Centraal - Amersfoort,Rotterdam Centraal,Amersfoort,19
SPR2002,2024-01-03,Eindhoven - Amersfoort,Eindhoven,Amersfoort,21
SPR2001,2024-01-03,Amersfoort - Rotterdam Centraal,Amersfoort,Rotterdam Centraal,5
IC1028,2024-01-03,Amsterdam Centraal - Rotterdam Centraal,Amsterdam Centraal,Rotterdam Centraal,9
IC1039,2024-01-03,Amsterdam Centraal - Amersfoort,Amsterdam Centraal,Amersfoort,9
IC1016,2024-01-03,Eindhoven - Amersfoort,Eindhoven,Amersfoort,18
IC1008,2024-01-03,Amsterdam Centraal - Amersfoort,Amsterdam Centraal,Amersfoort,8
IC1004,2024-01-03,Amersfoort - Rotterdam Centraal,Amersfoort,Rotterdam Centraal,12
IC1001,2024-01-03,Utrecht Centraal - Rotterdam Centraal,Utrecht Centraal,Rotterdam Centraal,7
SPR2009,2024-01-03,Den Haag Centraal - Eindhoven,Den Haag Centraal,Eindhoven,16
IC1029,2024-01-03,Den Haag Centraal - Amsterdam Centraal,Den Haag Centraal,Amsterdam Centraal,19
IC1041,2024-01-03,Rotterdam Centraal - Utrecht Centraal,Rotterdam Centraal,Utrecht Centraal,11
IC1026,2024-01-03,Utrecht Centraal - Rotterdam Centraal,Utrecht Centraal,Rotterdam Centraal,6
SPR2028,2024-01-03,Utrecht Centraal - Den Haag Centraal,Utrecht Centraal,Den Haag Centraal,10
IC1047,2024-01-03,Den Haag Centraal - Eindhoven,Den Haag Centraal,Eindhoven,21
IC1023,2024-01-03,Utrecht Centraal - Rotterdam Centraal,Utrecht Centraal,Rotterdam Centraal,21
SPR2000,2024-01-03,Rotterdam Centraal - Den Haag Centraal,Rotterdam Centraal,Den Haag Centraal,10
SPR2012,2024-01-03,Rotterdam Centraal - Amersfoort,Rotterdam Centraal,Amersfoort,15
SPR2005,2024-01-03,Amsterdam Centraal - Amersfoort,Amsterdam Centraal,Amersfoort,20
IC1009,2024-01-03,Amsterdam Centraal - Den Haag Centraal,Amsterdam Centraal,Den Haag Centraal,7
IC1011,2024-01-03,Den Haag Centraal - Utrecht Centraal,Den Haag Centraal,Utrecht Centraal,9
IC1042,2024-01-03,Rotterdam Centraal - Eindhoven,Rotterdam Centraal,Eindhoven,10
SPR2022,2024-01-03,Amersfoort - Rotterdam Centraal,Amersfoort,Rotterdam Centraal,6
IC1022,2024-01-03,Eindhoven - Amersfoort,Eindhoven,Amersfoort,19
IC1046,2024-01-03,Amsterdam Centraal - Amersfoort,Amsterdam Centraal,Amersfoort,8
SPR2015,2024-01-03,Amersfoort - Amsterdam Centraal,Amersfoort,Amsterdam Centraal,19
IC1033,2024-01-03,Utrecht Centraal - Eindhoven,Utrecht Centraal,Eindhoven,6
IC1021,2024-01-03,Utrecht Centraal - Amersfoort,Utrecht Centraal,Amersfoort,11
IC1049,2024-01-03,Amersfoort - Amsterdam Centraal,Amersfoort,Amsterdam Centraal,10
SPR2008,2024-01-03,Amsterdam Centraal - Amersfoort,Amsterdam Centraal,Amersfoort,9
SPR2025,2024-01-03,Eindhoven - Den Haag Centraal,Eindhoven,Den Haag Centraal,11
IC1014,2024-01-03,Amersfoort - Rotterdam Centraal,Amersfoort,Rotterdam Centraal,17
IC1013,2024-01-03,Rotterdam Centraal - Eindhoven,Rotterdam Centraal,Eindhoven,13
IC1017,2024-01-03,Utrecht Centraal - Den Haag Centraal,Utrecht Centraal,Den Haag Centraal,6
SPR2014,2024-01-03,Eindhoven - Den Haag Centraal,Eindhoven,Den Haag Centraal,9
SPR2020,2024-01-03,Rotterdam Centraal - Utrecht Centraal,Rotterdam Centraal,Utrecht Centraal,17
IC1034,2024-01-03,Amsterdam Centraal - Rotterdam Centraal,Amsterdam Centraal,Rotterdam Centraal,10
SPR2007,2024-01-04,Amersfoort - Eindhoven,Amersfoort,Eindhoven,5
SPR2023,2024-01-04,Rotterdam Centraal - Amsterdam Centraal,Rotterdam Centraal,Amsterdam Centraal,15
IC1026,2024-01-04,Rotterdam Centraal - Den Haag Centraal,Rotterdam Centraal,Den Haag Centraal,9
IC1020,2024-01-04,Utrecht Centraal - Amersfoort,Utrecht Centraal,Amersfoort,8
IC1036,2024-01-04,Rotterdam Centraal - Amersfoort,Rotterdam Centraal,Amersfoort,12
IC1049,2024-01-04,Eindhoven - Amersfoort,Eindhoven,Amersfoort,19
IC1024,2024-01-04,Amsterdam Centraal - Rotterdam Centraal,Amsterdam Centraal,Rotterdam Centraal,6
SPR2020,2024-01-04,Amsterdam Centraal - Utrecht Centraal,Amsterdam Centraal,Utrecht Centraal,10
IC1015,2024-01-04,Utrecht Centraal - Amsterdam Centraal,Utrecht Centraal,Amsterdam Centraal,14
IC1033,2024-01-04,Rotterdam Centraal - Den Haag Centraal,Rotterdam Centraal,Den Haag Centraal,8
IC1006,2024-01-04,Amsterdam Centraal - Rotterdam Centraal,Amsterdam Centraal,Rotterdam Centraal,5
IC1031,2024-01-04,Utrecht Centraal - Rotterdam Centraal,Utrecht Centraal,Rotterdam Centraal,9
IC1021,2024-01-04,Amersfoort - Den Haag Centraal,Amersfoort,Den Haag Centraal,17
SPR2018,2024-01-04,Amsterdam Centraal - Utrecht Centraal,Amsterdam Centraal,Utrecht Centraal,12
IC1016,2024-01-04,Amersfoort - Amsterdam Centraal,Amersfoort,Amsterdam Centraal,8
SPR2010,2024-01-04,Eindhoven - Utrecht Centraal,Eindhoven,Utrecht Centraal,15
SPR2022,2024-01-04,Utrecht Centraal - Rotterdam Centraal,Utrecht Centraal,Rotterdam Centraal,12
IC1027,2024-01-04,Eindhoven - Utrecht Centraal,Eindhoven,Utrecht Centraal,12
IC1038,2024-01-04,Eindhoven - Rotterdam Centraal,Eindhoven,Rotterdam Centraal,12
IC1040,2024-01-04,Eindhoven - Amsterdam Centraal,Eindhoven,Amsterdam Centraal,9
SPR2009,2024-01-04,Eindhoven - Den Haag Centraal,Eindhoven,Den Haag Centraal,13
SPR2002,2024-01-04,Amersfoort - Eindhoven,Amersfoort,Eindhoven,13
IC1034,2024-01-04,Amersfoort - Amsterdam Centraal,Amersfoort,Amsterdam Centraal,9
SPR2008,2024-01-04,Rotterdam Centraal - Utrecht Centraal,Rotterdam Centraal,Utrecht Centraal,5
SPR2029,2024-01-04,Amsterdam Centraal - Utrecht Centraal,Amsterdam Centraal,Utrecht Centraal,19
IC1028,2024-01-04,Amersfoort - Rotterdam Centraal,Amersfoort,Rotterdam Centraal,13
IC1022,2024-01-04,Den Haag Centraal - Eindhoven,Den Haag Centraal,Eindhoven,10
IC1047,2024-01-04,Amersfoort - Utrecht Centraal,Amersfoort,Utrecht Centraal,21
IC1009,2024-01-04,Amsterdam Centraal - Utrecht Centraal,Amsterdam Centraal,Utrecht Centraal,11
SPR2017,2024-01-04,Amsterdam Centraal - Rotterdam Centraal,Amsterdam Centraal,Rotterdam Centraal,15
IC1017,2024-01-04,Rotterdam Centraal - Utrecht Centraal,Rotterdam Centraal,Utrecht Centraal,21
IC1046,2024-01-04,Rotterdam Centraal - Amsterdam Centraal,Rotterdam Centraal,Amsterdam Centraal,12
IC1041,2024-01-04,Rotterdam Centraal - Amsterdam Centraal,Rotterdam Centraal,Amsterdam Centraal,21
SPR2021,2024-01-04,Utrecht Centraal - Amersfoort,Utrecht Centraal,Amersfoort,5
IC1012,2024-01-04,Utrecht Centraal - Amersfoort,Utrecht Centraal,Amersfoort,21
SPR2025,2024-01-04,Amersfoort - Den Haag Centraal,Amersfoort,Den Haag Centraal,11
IC1013,2024-01-04,Utrecht Centraal - Amersfoort,Utrecht Centraal,Amersfoort,6
IC1045,2024-01-04,Eindhoven - Amsterdam Centraal,Eindhoven,Amsterdam Centraal,22
IC1000,2024-01-04,Amsterdam Centraal - Amersfoort,Amsterdam Centraal,Amersfoort,12
IC1011,2024-01-04,Amsterdam Centraal - Amersfoort,Amsterdam Centraal,Amersfoort,5
IC1024,2024-01-05,Amersfoort - Rotterdam Centraal,Amersfoort,Rotterdam Centraal,16
SPR2011,2024-01-05,Amersfoort - Rotterdam Centraal,Amersfoort,Rotterdam Centraal,10
IC1030,2024-01-05,Eindhoven - Den Haag Centraal,Eindhoven,Den Haag Centraal,11
SPR2019,2024-01-05,Rotterdam Centraal - Amersfoort,Rotterdam Centraal,Amersfoort,18
IC1014,2024-01-05,Eindhoven - Utrecht Centraal,Eindhoven,Utrecht Centraal,8
IC1042,2024-01-05,Eindhoven - Den Haag Centraal,Eindhoven,Den Haag Centraal,12
IC1044,2024-01-05,Amsterdam Centraal - Eindhoven,Amsterdam Centraal,Eindhoven,12
SPR2025,2024-01-05,Utrecht Centraal - Eindhoven,Utrecht Centraal,Eindhoven,9
IC1005,2024-01-05,Den Haag Centraal - Eindhoven,Den Haag Centraal,Eindhoven,7
IC1043,2024-01-05,Eindhoven - Den Haag Centraal,Eindhoven,Den Haag Centraal,17
IC1025,2024-01-05,Amersfoort - Den Haag Centraal,Amersfoort,Den Haag Centraal,13
SPR2013,2024-01-05,Amsterdam Centraal - Rotterdam Centraal,Amsterdam Centraal,Rotterdam Centraal,15
SPR2024,2024-01-05,Den Haag Centraal - Eindhoven,Den Haag Centraal,Eindhoven,22
IC1038,2024-01-05,Utrecht Centraal - Amsterdam Centraal,Utrecht Centraal,Amsterdam Centraal,10
IC1003,2024-01-05,Eindhoven - Den Haag Centraal,Eindhoven,Den Haag Centraal,21
SPR2026,2024-01-05,Amersfoort - Rotterdam Centraal,Amersfoort,Rotterdam Centraal,21
SPR2000,2024-01-05,Amsterdam Centraal - Utrecht Centraal,Amsterdam Centraal,Utrecht Centraal,21
SPR2007,2024-01-05,Rotterdam Centraal - Amersfoort,Rotterdam Centraal,Amersfoort,19
SPR2016,2024-01-05,Den Haag Centraal - Eindhoven,Den Haag Centraal,Eindhoven,19
IC1012,2024-01-05,Amersfoort - Eindhoven,Amersfoort,Eindhoven,11
IC1048,2024-01-05,Amsterdam Centraal - Amersfoort,Amsterdam Centraal,Amersfoort,20
SPR2029,2024-01-05,Amersfoort - Den Haag Centraal,Amersfoort,Den Haag Centraal,11
IC1039,2024-01-05,Amersfoort - Utrecht Centraal,Amersfoort,Utrecht Centraal,21
SPR2015,2024-01-05,Eindhoven - Amsterdam Centraal,Eindhoven,Amsterdam Centraal,7
IC1027,2024-01-05,Den Haag Centraal - Utrecht Centraal,Den Haag Centraal,Utrecht Centraal,16
SPR2009,2024-01-05,Rotterdam Centraal - Eindhoven,Rotterdam Centraal,Eindhoven,17
SPR2006,2024-01-05,Rotterdam Centraal - Den Haag Centraal,Rotterdam Centraal,Den Haag Centraal,16
IC1049,2024-01-05,Utrecht Centraal - Eindhoven,Utrecht Centraal,Eindhoven,6
SPR2021,2024-01-05,Amsterdam Centraal - Amersfoort,Amsterdam Centraal,Amersfoort,22
SPR2020,2024-01-05,Utrecht Centraal - Amersfoort,Utrecht Centraal,Amersfoort,21
IC1026,2024-01-05,Rotterdam Centraal - Amsterdam Centraal,Rotterdam Centraal,Amsterdam Centraal,16
SPR2008,2024-01-05,Amersfoort - Rotterdam Centraal,Amersfoort,Rotterdam Centraal,11
IC1040,2024-01-05,Rotterdam Centraal - Den Haag Centraal,Rotterdam Centraal,Den Haag Centraal,7
IC1009,2024-01-05,Utrecht Centraal - Rotterdam Centraal,Utrecht Centraal,Rotterdam Centraal,9
IC1016,2024-01-05,Rotterdam Centraal - Amersfoort,Rotterdam Centraal,Amersfoort,13
IC1023,2024-01-05,Eindhoven - Amsterdam Centraal,Eindhoven,Amsterdam Centraal,9
IC1021,2024-01-05,Amersfoort - Utrecht Centraal,Amersfoort,Utrecht Centraal,18
SPR2027,2024-01-05,Amersfoort - Den Haag Centraal,Amersfoort,Den Haag Centraal,8
SPR2028,2024-01-05,Eindhoven - Amsterdam Centraal,Eindhoven,Amsterdam Centraal,17
IC1008,2024-01-05,Amersfoort - Utrecht Centraal,Amersfoort,Utrecht Centraal,13
SPR2020,2024-01-06,Den Haag Centraal - Amsterdam Centraal,Den Haag Centraal,Amsterdam Centraal,8
IC1006,2024-01-06,Amsterdam Centraal - Eindhoven,Amsterdam Centraal,Eindhoven,17
IC1009,2024-01-06,Den Haag Centraal - Eindhoven,Den Haag Centraal,Eindhoven,14
IC1022,2024-01-06,Eindhoven - Amersfoort,Eindhoven,Amersfoort,22
IC1042,2024-01-06,Den Haag Centraal - Rotterdam Centraal,Den Haag Centraal,Rotterdam Centraal,16
IC1043,2024-01-06,Amersfoort - Utrecht Centraal,Amersfoort,Utrecht Centraal,13
SPR2006,2024-01-06,Eindhoven - Rotterdam Centraal,Eindhoven,Rotterdam Centraal,20
IC1020,2024-01-06,Utrecht Centraal - Amersfoort,Utrecht Centraal,Amersfoort,13
SPR2021,2024-01-06,Utrecht Centraal - Den Haag Centraal,Utrecht Centraal,Den Haag Centraal,9
SPR2014,2024-01-06,Utrecht Centraal - Rotterdam Centraal,Utrecht Centraal,Rotterdam Centraal,21
IC1000,2024-01-06,Rotterdam Centraal - Eindhoven,Rotterdam Centraal,Eindhoven,22
SPR2004,2024-01-06,Den Haag Centraal - Utrecht Centraal,Den Haag Centraal,Utrecht Centraal,16
IC1035,2024-01-06,Den Haag Centraal - Amersfoort,Den Haag Centraal,Amersfoort,19
IC1001,2024-01-06,Utrecht Centraal - Amersfoort,Utrecht Centraal,Amersfoort,6
IC1038,2024-01-06,Eindhoven - Rotterdam Centraal,Eindhoven,Rotterdam Centraal,17
IC1018,2024-01-06,Amersfoort - Amsterdam Centraal,Amersfoort,Amsterdam Centraal,6
SPR2009,2024-01-06,Eindhoven - Utrecht Centraal,Eindhoven,Utrecht Centraal,7
IC1021,2024-01-06,Amsterdam Centraal - Rotterdam Centraal,Amsterdam Centraal,Rotterdam Centraal,19
IC1032,2024-01-06,Den Haag Centraal - Utrecht Centraal,Den Haag Centraal,Utrecht Centraal,9
SPR2018,2024-01-06,Amersfoort - Eindhoven,Amersfoort,Eindhoven,10
SPR2016,2024-01-06,Den Haag Centraal - Amersfoort,Den Haag Centraal,Amersfoort,16
SPR2013,2024-01-06,Utrecht Centraal - Den Haag Centraal,Utrecht Centraal,Den Haag Centraal,18
SPR2023,2024-01-06,Rotterdam Centraal - Amsterdam Centraal,Rotterdam Centraal,Amsterdam Centraal,19
SPR2017,2024-01-06,Eindhoven - Utrecht Centraal,Eindhoven,Utrecht Centraal,16
IC1029,2024-01-06,Utrecht Centraal - Den Haag Centraal,Utrecht Centraal,Den Haag Centraal,18
IC1030,2024-01-06,Rotterdam Centraal - Amersfoort,Rotterdam Centraal,Amersfoort,20
SPR2028,2024-01-06,Den Haag Centraal - Eindhoven,Den Haag Centraal,Eindhoven,6
IC1017,2024-01-06,Den Haag Centraal - Amsterdam Centraal,Den Haag Centraal,Amsterdam Centraal,22
IC1025,2024-01-06,Amsterdam Centraal - Eindhoven,Amsterdam Centraal,Eindhoven,10
IC1015,2024-01-06,Den Haag Centraal - Amersfoort,Den Haag Centraal,Amersfoort,13
SPR2012,2024-01-06,Eindhoven - Rotterdam Centraal,Eindhoven,Rotterdam Centraal,19
IC1026,2024-01-06,Rotterdam Centraal - Amsterdam Centraal,Rotterdam Centraal,Amsterdam Centraal,12
IC1007,2024-01-06,Rotterdam Centraal - Eindhoven,Rotterdam Centraal,Eindhoven,5
SPR2001,2024-01-06,Amersfoort - Rotterdam Centraal,Amersfoort,Rotterdam Centraal,11
IC1023,2024-01-06,Utrecht Centraal - Rotterdam Centraal,Utrecht Centraal,Rotterdam Centraal,19
IC1044,2024-01-06,Amersfoort - Eindhoven,Amersfoort,Eindhoven,15
SPR2002,2024-01-06,Amersfoort - Utrecht Centraal,Amersfoort,Utrecht Centraal,10
SPR2026,2024-01-06,Eindhoven - Rotterdam Centraal,Eindhoven,Rotterdam Centraal,19
IC1045,2024-01-06,Utrecht Centraal - Eindhoven,Utrecht Centraal,Eindhoven,7
IC1039,2024-01-06,Rotterdam Centraal - Den Haag Centraal,Rotterdam Centraal,Den Haag Centraal,22
IC1038,2024-01-07,Rotterdam Centraal - Den Haag Centraal,Rotterdam Centraal,Den Haag Centraal,10
IC1022,2024-01-07,Eindhoven - Amsterdam Centraal,Eindhoven,Amsterdam Centraal,6
IC1015,2024-01-07,Amsterdam Centraal - Amersfoort,Amsterdam Centraal,Amersfoort,12
IC1010,2024-01-07,Amsterdam Centraal - Eindhoven,Amsterdam Centraal,Eindhoven,15
SPR2003,2024-01-07,Utrecht Centraal - Eindhoven,Utrecht Centraal,Eindhoven,14
IC1016,2024-01-07,Rotterdam Centraal - Utrecht Centraal,Rotterdam Centraal,Utrecht Centraal,5
SPR2001,2024-01-07,Utrecht Centraal - Amsterdam Centraal,Utrecht Centraal,Amsterdam Centraal,5
IC1008,2024-01-07,Amsterdam Centraal - Rotterdam Centraal,Amsterdam Centraal,Rotterdam Centraal,9
IC1004,2024-01-07,Amsterdam Centraal - Rotterdam Centraal,Amsterdam Centraal,Rotterdam Centraal,16
IC1039,2024-01-07,Eindhoven - Amsterdam Centraal,Eindhoven,Amsterdam Centraal,22
SPR2019,2024-01-07,Eindhoven - Amersfoort,Eindhoven,Amersfoort,5
SPR2010,2024-01-07,Amsterdam Centraal - Amersfoort,Amsterdam Centraal,Amersfoort,5
IC1045,2024-01-07,Den Haag Centraal - Eindhoven,Den Haag Centraal,Eindhoven,22
IC1037,2024-01-07,Eindhoven - Utrecht Centraal,Eindhoven,Utrecht Centraal,22
IC1013,2024-01-07,Den Haag Centraal - Amsterdam Centraal,Den Haag Centraal,Amsterdam Centraal,19
IC1041,2024-01-07,Utrecht Centraal - Amersfoort,Utrecht Centraal,Amersfoort,17
IC1026,2024-01-07,Utrecht Centraal - Den Haag Centraal,Utrecht Centraal,Den Haag Centraal,22
SPR2026,2024-01-07,Amersfoort - Amsterdam Centraal,Amersfoort,Amsterdam Centraal,10
IC1000,2024-01-07,Den Haag Centraal - Amersfoort,Den Haag Centraal,Amersfoort,15
IC1042,2024-01-07,Rotterdam Centraal - Amersfoort,Rotterdam Centraal,Amersfoort,12
IC1046,2024-01-07,Eindhoven - Amsterdam Centraal,Eindhoven,Amsterdam Centraal,8
SPR2021,2024-01-07,Eindhoven - Amsterdam Centraal,Eindhoven,Amsterdam Centraal,18
SPR2015,2024-01-07,Amersfoort - Rotterdam Centraal,Amersfoort,Rotterdam Centraal,6
SPR2027,2024-01-07,Den Haag Centraal - Rotterdam Centraal,Den Haag Centraal,Rotterdam Centraal,20
SPR2009,2024-01-07,Amsterdam Centraal - Rotterdam Centraal,Amsterdam Centraal,Rotterdam Centraal,13
IC1049,2024-01-07,Den Haag Centraal - Eindhoven,Den Haag Centraal,Eindhoven,18
SPR2014,2024-01-07,Utrecht Centraal - Eindhoven,Utrecht Centraal,Eindhoven,17
IC1025,2024-01-07,Amsterdam Centraal - Amersfoort,Amsterdam Centraal,Amersfoort,11
IC1047,2024-01-07,Amersfoort - Amsterdam Centraal,Amersfoort,Amsterdam Centraal,11
